contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct
SPY251007C00654000,2025-10-03 19:19:09+00:00,654.0,16.12,15.33,15.45,5.8500004,56.96203,67.0,43,0.1247646118164062,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0232569143312786,0.11999999999999922,0.0074441687344912666
SPY251007C00655000,2025-10-03 19:04:15+00:00,655.0,15.4,14.36,14.48,1.2399998,8.757061,45.0,137,0.1213466772460937,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0216946900345898,0.120000000000001,0.007792207792207856
SPY251007C00656000,2025-10-02 18:00:06+00:00,656.0,15.04,13.39,13.51,1.1899996,8.592054,60.0,97,0.1174404663085937,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.020137228616854,0.11999999999999922,0.007978723404255268
SPY251007C00657000,2025-10-03 16:05:47+00:00,657.0,13.07,12.43,12.55,-0.1800003,-1.3584929,52.0,168,0.1140225317382812,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.018584508329766,0.120000000000001,0.009181331293037566
SPY251007C00658000,2025-10-03 16:33:01+00:00,658.0,14.93,11.47,11.59,2.5500002,20.59774,71.0,215,0.1099942517089843,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0170365075572283,0.11999999999999922,0.008037508372404502
SPY251007C00659000,2025-10-03 19:19:09+00:00,659.0,11.29,10.51,10.64,0.010000229,0.08865451,112.0,362,0.1062101098632812,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0154932048143497,0.13000000000000078,0.011514614703277307
SPY251007C00660000,2025-10-03 19:48:23+00:00,660.0,10.22,9.57,9.7,-0.47999954,-4.485977,81.0,709,0.1024259680175781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0139545787464488,0.129999999999999,0.012720156555772896
SPY251007C00661000,2025-10-03 19:59:04+00:00,661.0,8.8,8.66,8.77,-0.7399998,-7.756811,167.0,256,0.098641826171875,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0124206081280729,0.10999999999999943,0.012499999999999935
SPY251007C00662000,2025-10-03 19:58:29+00:00,662.0,7.97,7.73,7.85,-0.61000013,-7.109559,63.0,474,0.0946135461425781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0108912718620184,0.11999999999999922,0.015056461731493002
SPY251007C00663000,2025-10-03 18:58:23+00:00,663.0,7.81,6.85,6.95,0.07999992,1.0349278,101.0,402,0.0907073352050781,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0093665489783654,0.10000000000000053,0.012804097311139634
