contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251006P00651000,2025-10-03 20:13:34+00:00,651.0,0.13,0.11,0.12,-0.120000005,-48.0,3467.0,624,0.141610146484375,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.027972383982575,0.0099999999999999,0.0769230769230768,0.20453436727258512,0.06292422078821011,"(0.95, 1.05]","(0, 30]"
SPY251006P00652000,2025-10-03 20:14:37+00:00,652.0,0.12,0.12,0.13,-0.13999999,-53.84615,11279.0,589,0.1372156591796875,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0263957392218654,0.01,0.0833333333333334,0.19243020719790074,0.05521454801821324,"(0.95, 1.05]","(0, 30]"
SPY251006P00653000,2025-10-03 20:14:41+00:00,653.0,0.14,0.13,0.14,-0.14,-50.0,3862.0,1731,0.1323328955078125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0248239233884475,0.01,0.0714285714285714,0.18828698397408666,0.05595408846627417,"(0.95, 1.05]","(0, 30]"
SPY251006P00654000,2025-10-03 20:13:34+00:00,654.0,0.15,0.14,0.15,-0.16,-51.612904,14308.0,28672,0.12696185546875,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0232569143312786,0.0099999999999999,0.0666666666666665,0.18105818867879994,0.054096333210049946,"(0.95, 1.05]","(0, 30]"
SPY251006P00655000,2025-10-03 20:14:30+00:00,655.0,0.16,0.16,0.17,-0.16,-50.0,19256.0,4171,0.12305564453125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0216946900345898,0.01,0.0625,0.17349999723139256,0.05044435270014257,"(0.95, 1.05]","(0, 30]"
SPY251006P00656000,2025-10-03 20:13:33+00:00,656.0,0.17,0.17,0.18,-0.19000001,-52.777782,17404.0,1115,0.1174404663085937,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.020137228616854,0.0099999999999999,0.0588235294117645,0.16562098503570707,0.048180518727113375,"(0.95, 1.05]","(0, 30]"
SPY251006P00657000,2025-10-03 20:14:45+00:00,657.0,0.2,0.19,0.2,-0.2,-50.0,28118.0,2205,0.1128018408203125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.018584508329766,0.01,0.05,0.16099029961800876,0.04818845879769626,"(0.95, 1.05]","(0, 30]"
SPY251006P00658000,2025-10-03 20:14:47+00:00,658.0,0.22,0.21,0.23,-0.22,-50.0,16197.0,1820,0.1088956298828125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0170365075572283,0.02,0.090909090909091,0.15382671870858283,0.044931088825770335,"(0.95, 1.05]","(0, 30]"
SPY251006P00659000,2025-10-03 20:14:46+00:00,659.0,0.24,0.24,0.25,-0.25,-51.02041,26803.0,2396,0.1032804516601562,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0154932048143497,0.01,0.0416666666666667,0.14610616606470087,0.04282571440454466,"(0.95, 1.05]","(0, 30]"
SPY251006P00660000,2025-10-03 20:14:56+00:00,660.0,0.28,0.27,0.29,-0.26000002,-48.14815,33553.0,6092,0.0990080334472656,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0139545787464488,0.0199999999999999,0.0714285714285712,0.14043859076373247,0.04143055731646687,"(0.95, 1.05]","(0, 30]"
