contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00612000,2025-10-03 14:02:06+00:00,612.0,59.2,55.49,58.3,1.75,3.046127,17.0,309,1.1318402783203125,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0934804280598958
SPY251003C00613000,2025-10-03 14:56:05+00:00,613.0,59.43,54.49,57.3,7.630001,14.7297325,18.0,532,1.1157270776367185,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.091696610069586
SPY251003C00614000,2025-10-03 15:20:19+00:00,614.0,55.66,53.49,56.3,1.6899986,3.1313667,4.0,434,1.0993697375488285,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0899186025613294
SPY251003C00615000,2025-10-03 18:54:04+00:00,615.0,54.51,52.5,55.3,0.019996643,0.03669782,4.0,253,1.0830123974609376,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.088146377191311
SPY251003C00616000,2025-09-30 17:21:43+00:00,616.0,53.61,51.5,54.3,6.8600006,14.673799,10.0,638,1.066899196777344,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0863799057997667
SPY251003C00617000,2025-09-30 17:40:00+00:00,617.0,53.55,50.5,53.3,7.9300003,17.382727,33.0,636,1.0502977172851562,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0846191604094915
SPY251003C00618000,2025-10-02 19:43:09+00:00,618.0,51.31,49.5,52.3,0.0,0.0,1.0,199,1.0341845166015626,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0828641132243628
SPY251003C00619000,2025-10-03 20:04:23+00:00,619.0,49.87,48.5,51.3,-0.31000137,-0.6177787,27.0,283,1.017583037109375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0811147366278777
SPY251003C00620000,2025-10-03 19:51:25+00:00,620.0,49.49,47.49,50.3,-0.19999695,-0.40248933,173.0,5433,1.0014698364257812,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0793710031817036
SPY251003C00621000,2025-10-03 16:48:25+00:00,621.0,51.2,46.49,49.3,1.7200012,3.4761546,1.0,293,0.9848634326171876,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0776328856242452
SPY251003C00622000,2025-10-03 19:51:39+00:00,622.0,47.48,45.49,48.3,6.5699997,16.059643,31.0,642,0.9687503125,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0759003568692223
SPY251003C00623000,2025-10-03 15:28:38+00:00,623.0,46.12,44.49,47.3,-0.13000107,-0.2810834,2.0,72,0.9521489160156249,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0741733900042636
SPY251003C00624000,2025-10-03 16:51:11+00:00,624.0,48.1,43.49,46.3,2.6599998,5.8538733,3.0,186,0.9355475195312499,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0724519582895131
SPY251003C00625000,2025-10-03 14:28:58+00:00,625.0,46.08,42.49,45.3,2.2700005,5.181466,63.0,907,0.918946123046875,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.07073603515625
SPY251003C00626000,2025-10-03 18:19:35+00:00,626.0,43.9,41.49,44.3,1.6800003,3.9791574,5.0,118,0.9025888647460938,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0690255942055211
SPY251003C00627000,2025-10-03 15:26:04+00:00,627.0,43.18,40.49,43.3,7.0600014,19.545961,17.0,285,0.8862316064453124,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0673206092067882
SPY251003C00628000,2025-10-02 19:45:48+00:00,628.0,40.89,39.49,42.3,-0.52000046,-1.2557365,2.0,189,0.8696302099609375,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0656210540965865
SPY251003C00629000,2025-10-03 18:59:30+00:00,629.0,40.82,38.49,41.3,6.709999,19.671646,22.0,381,0.8530288134765626,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.063926902977196
SPY251003C00630000,2025-10-03 19:50:54+00:00,630.0,39.19,37.49,40.3,-0.33000183,-0.8350249,32.0,4234,0.8361832788085937,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0622381301153274
